Name,Address,Rating,Review Count,Types
Men's Fashion Bolivar,"Simón Bolívar 31, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.4,272,clothing_store
Camisería Bolívar,"A Bolívar 23, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.5,338,clothing_store
Urban Store Parque Las Antenas,"Plaza Parque Las Antenas, Anillo Perif. 3278-Local 190, 190 B, 190 C, 190 D, 191 D, La Esperanza, Iztapalapa, 09910 Ciudad de México, CDMX, Mexico",4.3,34,clothing_store
Tienda De Ropa,"San Jerónimo 178, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06090 Ciudad de México, CDMX, Mexico",1.0,1,clothing_store
Super de Ropa,"Calle del Correo Mayor 66-4 piso local 401, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX, Mexico",3.8,37,clothing_store
DRESS SHOP,"Corregidora 19, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",3.7,3,clothing_store
Optima-Venustiano Carranza,"1, C. de Venustiano Carranza 121, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX, Mexico",4.2,360,womens_clothing_store
Optima Tacuba,"C. de Tacuba 47, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.1,319,womens_clothing_store
07 September 16 Wild Temptation,"16 de Septiembre 5, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.2,403,"womens_clothing_store,shoe_store,clothing_store"
Optima 5 de Febrero,"C. 5 de Febrero 21, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX, Mexico",4.3,128,clothing_store
Boutique Vanessa,"Historic center of Mexico City, Centro, 06090 Mexico City, CDMX, Mexico",5.0,1,clothing_store
CENTRAL DE PACAS boutique,"José María Izazaga 56-Local 1, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06020 Ciudad de México, CDMX, Mexico",5.0,14,clothing_store
Mila Boutique,"Soledad 51, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06020 Ciudad de México, CDMX, Mexico",5.0,2,wholesaler
Orchid Boutique,"20 de Noviembre No. 133-primer piso, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06090 Ciudad de México, CDMX, Mexico",5.0,2,womens_clothing_store
Boutique Oscar Maya,"Donceles 86-segundo piso, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06020 Ciudad de México, CDMX, Mexico",3.5,20,clothing_store
SUEÑOS BOUTIQUE XV | SBXV / CDMX,"República de Chile, # 71, F. Colonia Centro, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06020 Ciudad de México, CDMX, Mexico",4.3,27,clothing_store
SasBim La tienda del Mayoreo CDMX,"Moneda 19-LOCAL 309 PISO 3, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06020 Ciudad de México, CDMX, Mexico",4.6,90,store
Accesorios Para Dama MYC,"República de Uruguay 120, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",5.0,1,store
